accountsservice 26.12.8-1
v4l2loopback-dkms 0.15.3-1
valkey 9.0.3-1
vim 9.2.0315-1
visual-studio-code-bin 1.114.0-1
vkd3d 1.19-1
vkd3d-proton-bin 3.0.b-1
vscode-css-languageserver 1.113.0-1
vscode-html-languageserver 1.113.0-1
vscode-json-languageserver 1.113.0-1
vulkan-headers 1:1.4.341.0-1
vulkan-intel 1:26.0.4-1
vulkan-tools 1.4.341.0-2
vulkan-validation-layers 1.4.341.0-2
webkit2gtk-4.1 2.50.6-1
wf-recorder 0.6.0-1
wget 1.25.0-3
whois 5.6.6-1
wine-staging 11.6-1
winetricks 20260125-1
wireshark-qt 4.6.4-2
wl-clipboard 1:2.3.0-1
wl-mirror 0.18.5-1
wlr-randr 0.5.0-1
wlsunset 0.4.0-1
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-gtk 1.15.3-1
xorg-xwayland 24.1.9-1
xsettingsd 1.0.2-3
xwayland-satellite 0.8.1-1
yay 12.5.7-1
yay-debug 12.5.7-1
yt-dlp 2026.03.17-1
zaproxy 2.17.0-1
zathura 2026.03.27-1
zathura-pdf-mupdf 2026.02.03-6
zen-browser-bin 1.19.5b-1
zip 3.0-11
zoxide 0.9.9-2
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-completions 0.36.0-1
zsh-fast-syntax-highlighting 1.56-1
